date,datetime,wait_time(posted),wait_time(actual)
2018-01-04,2018-01-04 15:05:00,180.0,
2018-01-04,2018-01-04 15:12:00,180.0,
2018-01-04,2018-01-04 15:17:00,180.0,
2018-01-04,2018-01-04 15:28:00,180.0,
2018-01-04,2018-01-04 15:34:00,180.0,
2018-01-04,2018-01-04 15:38:00,180.0,
2018-01-04,2018-01-04 15:47:00,180.0,
2018-01-04,2018-01-04 15:58:00,180.0,
2018-01-04,2018-01-04 16:03:00,160.0,
2018-01-04,2018-01-04 16:05:00,160.0,
2018-01-04,2018-01-04 16:10:00,140.0,
2018-01-04,2018-01-04 16:17:00,140.0,
2018-01-04,2018-01-04 16:26:00,140.0,
2018-01-04,2018-01-04 16:32:00,140.0,
2018-01-04,2018-01-04 16:38:00,140.0,
2018-01-04,2018-01-04 16:44:00,140.0,
2018-01-04,2018-01-04 16:47:00,140.0,
2018-01-04,2018-01-04 16:52:00,140.0,
2018-01-04,2018-01-04 17:01:00,140.0,
2018-01-04,2018-01-04 17:03:00,140.0,
2018-01-04,2018-01-04 17:12:00,140.0,
2018-01-04,2018-01-04 17:13:00,140.0,
2018-01-04,2018-01-04 17:17:00,140.0,
2018-01-04,2018-01-04 17:26:00,140.0,
2018-01-04,2018-01-04 17:32:00,140.0,
2018-01-04,2018-01-04 17:42:00,130.0,
2018-01-04,2018-01-04 17:45:00,130.0,
2018-01-04,2018-01-04 17:52:00,130.0,
2018-01-04,2018-01-04 18:01:00,130.0,
2018-01-04,2018-01-04 18:05:00,130.0,
2018-01-04,2018-01-04 18:12:00,150.0,
2018-01-04,2018-01-04 18:17:00,150.0,
2018-01-04,2018-01-04 18:28:00,150.0,
2018-01-04,2018-01-04 18:30:00,150.0,
2018-01-04,2018-01-04 18:38:00,150.0,
2018-01-04,2018-01-04 18:45:00,150.0,
2018-01-04,2018-01-04 18:59:00,150.0,
2018-01-04,2018-01-04 19:00:00,150.0,
2018-01-04,2018-01-04 19:03:00,150.0,
2018-01-04,2018-01-04 19:19:00,130.0,
2018-01-04,2018-01-04 19:20:00,130.0,
2018-01-04,2018-01-04 19:28:00,130.0,
2018-01-04,2018-01-04 19:32:00,130.0,
2018-01-04,2018-01-04 19:44:00,115.0,
2018-01-04,2018-01-04 19:47:00,90.0,
2018-01-04,2018-01-04 19:52:00,90.0,
2018-01-04,2018-01-04 20:05:00,30.0,
2018-01-04,2018-01-04 20:07:00,30.0,
2018-01-05,2018-01-05 07:56:00,5.0,
2018-01-05,2018-01-05 08:01:00,5.0,
2018-01-05,2018-01-05 08:05:00,5.0,
2018-01-05,2018-01-05 08:16:00,35.0,
2018-01-05,2018-01-05 08:17:00,35.0,
2018-01-05,2018-01-05 08:24:00,60.0,
2018-01-05,2018-01-05 08:28:00,75.0,
2018-01-05,2018-01-05 08:32:00,75.0,
2018-01-05,2018-01-05 08:38:00,75.0,
2018-01-05,2018-01-05 08:45:00,85.0,
2018-01-05,2018-01-05 08:58:00,85.0,
2018-01-05,2018-01-05 09:01:00,85.0,
2018-01-05,2018-01-05 09:03:00,95.0,
2018-01-05,2018-01-05 09:12:00,95.0,
2018-01-05,2018-01-05 09:17:00,95.0,
